"","exp","Tissue"
"GTEX-WHPG-2426-SM-3NMBQ",1.8561,"Nerve - Tibial"
"GTEX-WY7C-2626-SM-3NB2P",1.5907,"Nerve - Tibial"
"GTEX-VJYA-1726-SM-3NMDQ",0.9348,"Nerve - Tibial"
"GTEX-O5YT-1726-SM-3NMD7",0.4145,"Nerve - Tibial"
"GTEX-WYVS-2426-SM-3NMA9",2.7384,"Nerve - Tibial"
"GTEX-WZTO-1026-SM-3NM9P",2.6438,"Nerve - Tibial"
"GTEX-OIZI-0426-SM-2XCEF",1.9069,"Nerve - Tibial"
"GTEX-X4EP-0726-SM-3P5YJ",1.7833,"Nerve - Tibial"
"GTEX-P4PQ-1726-SM-3NB15",0.8185,"Nerve - Tibial"
"GTEX-OXRK-0426-SM-3NB2E",0.7932,"Nerve - Tibial"
"GTEX-WHWD-2326-SM-3LK6Q",0.2443,"Nerve - Tibial"
"GTEX-P4QS-1726-SM-3NB1V",1.0101,"Nerve - Tibial"
"GTEX-X4EO-0126-SM-3P5YN",3.4082,"Nerve - Tibial"
"GTEX-OHPN-2926-SM-3LK65",4.5164,"Nerve - Tibial"
"GTEX-WRHU-0626-SM-3MJFI",5.6682,"Nerve - Tibial"
"GTEX-WL46-0426-SM-3TW8J",2.2417,"Nerve - Tibial"
"GTEX-WOFM-1626-SM-3MJFX",1.7787,"Nerve - Tibial"
"GTEX-PLZ5-1626-SM-3NB21",0.8326,"Nerve - Tibial"
"GTEX-WHSB-2026-SM-3LK6H",2.4152,"Nerve - Tibial"
"GTEX-WH7G-2626-SM-3NMBE",1.4236,"Nerve - Tibial"
"GTEX-WYBS-0326-SM-3NM8S",2.429,"Nerve - Tibial"
